Symbol,Company Name,Market Cap,Stock Price
PODD,Insulet Corporation,15.48B,219.84
KIM,Kimco Realty Corporation,15.44B,22.91
INVH,Invitation Homes Inc.,15.23B,24.99
TKO,"TKO Group Holdings, Inc.",15.17B,194.57
J,Jacobs Solutions Inc.,15.12B,128.06
TYL,"Tyler Technologies, Inc.",15.04B,349.79
APTV,Aptiv PLC,15.00B,70.50
CDW,CDW Corporation,14.98B,116.16
NDSN,Nordson Corporation,14.93B,267.57
MAA,"Mid-America Apartment Communities, Inc.",14.77B,126.32
GPC,Genuine Parts Company,14.55B,105.74
PNR,Pentair plc,14.41B,88.29
DECK,Deckers Outdoor Corporation,14.31B,100.78
REG,Regency Centers Corporation,14.01B,76.58
IEX,IDEX Corporation,13.99B,188.18
COO,"The Cooper Companies, Inc.",13.64B,69.92
DPZ,"Domino's Pizza, Inc.",13.51B,401.63
CLX,The Clorox Company,13.38B,110.68
HAS,"Hasbro, Inc.",13.14B,93.40
AVY,Avery Dennison Corporation,13.13B,170.77
BBY,"Best Buy Co., Inc.",13.11B,62.59
NWSA,News Corporation,13.07B,23.70
TTD,"The Trade Desk, Inc.",13.01B,27.34
EG,"Everest Group, Ltd.",12.94B,320.36
ERIE,Erie Indemnity Company,12.91B,246.91
HST,"Host Hotels & Resorts, Inc.",12.73B,18.51
BEN,"Franklin Resources, Inc.",12.57B,24.13
MAS,Masco Corporation,12.53B,61.52
GEN,Gen Digital Inc.,12.53B,20.68
ALLE,Allegion plc,12.52B,145.35
HRL,Hormel Foods Corporation,12.46B,22.64
PNW,Pinnacle West Capital Corporation,12.44B,102.91
JKHY,"Jack Henry & Associates, Inc.",12.18B,168.77
APA,APA Corporation,12.18B,34.47
DOC,"Healthpeak Properties, Inc.",11.80B,16.98
GNRC,Generac Holdings Inc.,11.77B,200.53
UHS,"Universal Health Services, Inc.",11.75B,192.42
IT,"Gartner, Inc.",11.75B,166.74
ALGN,"Align Technology, Inc.",11.71B,164.23
UDR,"UDR, Inc.",11.63B,35.41
SOLV,Solventum Corporation,11.58B,66.76
SJM,The J. M. Smucker Company,11.31B,106.08
PSKY,Paramount Skydance Corporation,10.96B,9.72
GDDY,GoDaddy Inc.,10.94B,81.22
GL,Globe Life Inc.,10.89B,138.46
SWK,"Stanley Black & Decker, Inc.",10.88B,70.15
AIZ,"Assurant, Inc.",10.86B,218.53
BF.B,Brown-Forman Corporation,10.77B,23.49
WYNN,"Wynn Resorts, Limited",10.47B,100.43
CPT,Camden Property Trust,10.40B,100.61
